Category,Topology,Source Framework,Precision,Inferred With,CPU,GPU,NPU
Large Language Model,qwen2.5-coder-3b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,phi-3-mini-4k-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,phi-3-mini-4k-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-3-mini-4k-instruct,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,phi-3-medium-4k-instruct,pytorch,FP16,OpenVINO,+,,
Large Language Model,phi-3-medium-4k-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,phi-3-medium-4k-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,falcon-7b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,falcon-7b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,falcon-7b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,stablelm-3b-4e1t,pytorch,FP16,OpenVINO,+,+,
Large Language Model,stablelm-3b-4e1t,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,stablelm-3b-4e1t,pytorch,INT4-MIXED,OpenVINO,+,+,+
Image Generation,lcm-dreamshaper-v7,pytorch,FP16,OpenVINO,+,+,
Image Generation,lcm-dreamshaper-v7,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,lcm-dreamshaper-v7,pytorch,INT8-HYBRID,OpenVINO,+,+,
Image Generation,lcm-sdxl,pytorch,FP16,OpenVINO,+,+,
Image Generation,lcm-sdxl,pytorch,INT8-CW,OpenVINO,+,+,
Image Generation,lcm-sdxl,pytorch,INT8-HYBRID,OpenVINO,+,+,
Large Language Model,starcoder2-15b,pytorch,FP16,OpenVINO,+,,
Large Language Model,starcoder2-15b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,starcoder2-15b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,mistral-7b-instruct-v0.3,pytorch,FP16,OpenVINO,+,,
Large Language Model,mistral-7b-instruct-v0.3,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,mistral-7b-instruct-v0.3,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,phi-3-mini-128k-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,phi-3-mini-128k-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-3-mini-128k-instruct,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,phi-3.5-mini-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,phi-3.5-mini-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-3.5-mini-instruct,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,phi-4-mini-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,phi-4-mini-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-4-mini-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,phi-4,pytorch,FP16,OpenVINO,+,,
Large Language Model,phi-4,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-4,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,phi-4-reasoning,pytorch,FP16,OpenVINO,+,,
Large Language Model,phi-4-reasoning,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-4-reasoning,pytorch,INT8-CW,OpenVINO,+,,
Multimodal Large Language Model,phi-4-multimodal-instruct,pytorch,FP16,OpenVINO,+,,
Multimodal Large Language Model,phi-4-multimodal-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Multimodal Large Language Model,phi-4-multimodal-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Image Text to Text,phi-3.5-vision-instruct,pytorch,FP16,OpenVINO,+,,
Image Text to Text,phi-3.5-vision-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Image Text to Text,phi-3.5-vision-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,glm-4-9b-chat-hf,pytorch,FP16,OpenVINO,+,,
Large Language Model,glm-4-9b-chat-hf,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,glm-4-9b-chat-hf,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,qwen2-0.5b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,qwen2-0.5b,pytorch,BF16,OpenVINO,+,+,+
Large Language Model,qwen2-0.5b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,qwen2-0.5b,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,qwen2-7b-instruct,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen2-7b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,qwen2-7b-instruct,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,qwen2-7b-instruct,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,qwen2-vl-7b-instruct,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen2-vl-7b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,qwen2-vl-7b-instruct,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,qwen2.5-vl-3b-instruct,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen2.5-vl-3b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,qwen2.5-vl-3b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,afm-4.5b,pytorch,FP16,OpenVINO,+,,
Large Language Model,minicpm3-4b,pytorch,FP16,OpenVINO,+,,
Large Language Model,minicpm3-4b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,minicpm3-4b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,minicpm4-0.5b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,minicpm4-0.5b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,minicpm4-0.5b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,minicpm4-8b,pytorch,FP16,OpenVINO,+,,
Large Language Model,minicpm4-8b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,minicpm4-8b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,minicpm-v-2_6,pytorch,FP16,OpenVINO,+,,
Large Language Model,minicpm-v-2_6,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,minicpm-v-2_6,pytorch,INT8-CW,OpenVINO,+,,
Image Text to Text,internvl2-4b,pytorch,FP16,OpenVINO,+,,
Image Text to Text,internvl2-4b,pytorch,INT4-MIXED,OpenVINO,+,+,
Image Text to Text,internvl2-4b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,nanollava,pytorch,FP16,OpenVINO,+,+,
Large Language Model,nanollava,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,nanollava,pytorch,INT8-CW,OpenVINO,+,+,
Speech Recognition,whisper-large-v3,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,whisper-large-v3,pytorch,INT4-MIXED,OpenVINO,+,+,
Speech Recognition,whisper-large-v3,pytorch,INT8-CW,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-turbo,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-turbo,pytorch,INT4-MIXED,OpenVINO,+,+,
Speech Recognition,whisper-large-v3-turbo,pytorch,INT8-CW,OpenVINO,+,+,
Speech Recognition,distil-large-v2,pytorch,FP16,OpenVINO,+,+,
Speech Recognition,distil-large-v2,pytorch,INT4-MIXED,OpenVINO,+,+,
Speech Recognition,distil-large-v2,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,gemma-2-9b-it,pytorch,FP16,OpenVINO,+,,
Large Language Model,gemma-2-9b-it,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,gemma-2-9b-it,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,gemma-3-1b-it,pytorch,FP16,OpenVINO,+,+,
Large Language Model,gemma-3-1b-it,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,gemma-3-1b-it,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,FP16,OpenVINO,+,,
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,deepseek-r1-distill-llama-8b,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,FP16,OpenVINO,+,,
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,deepseek-r1-distill-qwen-7b,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,deepseek-r1-distill-qwen-1.5b,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,deepseek-r1-distill-qwen-14b,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Natural Language Processing,t5-small,pytorch,INT8-CW,OpenVINO,+,+,
Natural Language Processing,t5-small,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,afm-4.5b,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,afm-4.5b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,gemma-3-12b-it,pytorch,FP16,OpenVINO,+,,
Large Language Model,gemma-3-12b-it,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,gemma-3-12b-it,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,gemma-3-4b-it,pytorch,FP16,OpenVINO,+,,
Large Language Model,gemma-3-4b-it,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,gemma-3-4b-it,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen-7b-chat,pytorch,FP4-NORMALIZED,OpenVINO,,,+
Large Language Model,llama-2-13b-chat-hf,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,llama-3.2-3b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,llama-3-8b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,llama-3.1-8b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,llama-2-13b-chat-hf,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-2-13b-chat-hf,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen2.5-1.5b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,tiny-llama-1.1b-chat,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,llama-3.2-3b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-3.2-3b-instruct,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,llama-3-8b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-3-8b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,llama-3.1-8b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,llama-3.1-8b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,minicpm-1b-sft,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,mixtral-8x7b-v0.1,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,mixtral-8x7b-v0.1,pytorch,INT8-CW,OpenVINO,,+,
Large Language Model,qwen2.5-3b-instruct-gptq,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,qwen2.5-1.5b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,qwen2.5-1.5b-instruct,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,qwen3-8b,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen3-8b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,qwen3-8b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,qwen3-30b-a3b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,qwen3-30b-a3b,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,mistral-7b-instruct-v0.2,pytorch,FP16,OpenVINO,+,,
Large Language Model,mistral-7b-instruct-v0.2,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,mistral-7b-instruct-v0.2,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,deepseek-r1-distill-qwen-14b,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,phi-4-mini-reasoning,pytorch,FP16,OpenVINO,+,,
Large Language Model,phi-4-mini-reasoning,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-4-mini-reasoning,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen2-7b-instruct-gptq,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,deepseek-r1-distill-qwen-14b,pytorch,FP16,OpenVINO,+,,
Large Language Model,deepseek-r1-distill-qwen-14b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,qwen-7b-chat,pytorch,FP16,OpenVINO,+,,
Large Language Model,starcoder,pytorch,FP16,OpenVINO,+,,
Large Language Model,gemma-2b-it,pytorch,FP16,OpenVINO,+,,
Large Language Model,bloomz-7b1,pytorch,FP16,OpenVINO,+,,
Large Language Model,codellama-7b,pytorch,FP16,OpenVINO,+,,
Large Language Model,dolly-v2-12b,pytorch,FP16,OpenVINO,+,,
Large Language Model,pythia-12b,pytorch,FP16,OpenVINO,+,,
Large Language Model,notus-7b-v1,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen2-1.5b,pytorch,FP16,OpenVINO,+,,
Speech Recognition,whisper-tiny,pytorch,FP16,OpenVINO,+,,
Large Language Model,gemma-2-2b,pytorch,FP16,OpenVINO,+,,
Large Language Model,dolly-v2-3b,pytorch,FP16,OpenVINO,+,,
Large Language Model,pythia-12b,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,tiny-llama-1.1b-chat,pytorch,FP16,OpenVINO,+,,
Large Language Model,baichuan2-7b-chat,pytorch,FP16,OpenVINO,+,,
Large Language Model,baichuan2-7b-chat,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,baichuan2-7b-chat,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,dolly-v2-3b,pytorch,INT8-CW,OpenVINO,+,,+
Large Language Model,dolly-v2-3b,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,zephyr-7b-beta,pytorch,FP16,OpenVINO,+,,
Large Language Model,zephyr-7b-beta,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,zephyr-7b-beta,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,qwen-7b-chat,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,qwen-7b-chat,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,starcoder,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,starcoder,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,gemma-2b-it,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,gemma-2b-it,pytorch,INT8-CW,OpenVINO,+,,+
Large Language Model,mpt-30b-chat,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,mpt-30b-chat,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,bloomz-1b4-zh,pytorch,FP16,OpenVINO,+,,
Large Language Model,bloomz-1b4-zh,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,bloomz-1b4-zh,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,bloomz-7b1,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,bloomz-7b1,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,codellama-7b,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,codellama-7b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,codet5-base-sum,pytorch,FP16,OpenVINO,+,,
Large Language Model,codet5-base-sum,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,codet5-base-sum,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,dolly-v2-12b,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,dolly-v2-12b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,falcon-40b,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,FP16,OpenVINO,+,,
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,pythia-12b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,gpt-neox-20b,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,gpt-neox-20b,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,tiny-llama-1.1b-chat,pytorch,INT8-CW,OpenVINO,+,,+
Large Language Model,neural-chat-7b-v3-3,pytorch,FP16,OpenVINO,+,,
Large Language Model,neural-chat-7b-v3-3,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,neural-chat-7b-v3-3,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,notus-7b-v1,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,notus-7b-v1,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,qwen2-1.5b,pytorch,INT4-MIXED,OpenVINO,+,,+
Large Language Model,qwen2-1.5b,pytorch,INT8-CW,OpenVINO,+,,+
Large Language Model,minicpm-1b-sft,pytorch,FP16,OpenVINO,+,,
Large Language Model,minicpm-1b-sft,pytorch,INT8-CW,OpenVINO,+,,+
Speech Recognition,whisper-tiny,pytorch,INT4-MIXED,OpenVINO,+,,
Speech Recognition,whisper-tiny,pytorch,INT8-CW,OpenVINO,+,,
Large Language Model,gemma-2-2b,pytorch,INT4-MIXED,OpenVINO,+,,
Large Language Model,gemma-2-2b,pytorch,INT8-CW,OpenVINO,+,,
Natural Language Processing,albert-base-v2,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,albert-large-v2,pytorch,FP32,torch.compile,+,+,+
Image Classification,alexnet,pytorch,FP32,torch.compile,+,+,+
Video Processing ,Background_Matting,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bart-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,barthez-orangesum-abstract,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,BERT_pytorch,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-arabertv02,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-cased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-multilingual-cased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-NER,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-uncased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-uncased-mrpc,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-base-uncased-sparse-70-unstructured,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-large-cased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-large-uncased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bert-large-uncased-whole-word-masking,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bigbird-pegasus-large-arxiv,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,bigbird-roberta-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,Bio_ClinicalBERT,pytorch,FP32,torch.compile,+,+,+
Large Language Model,bloom,pytorch,FP32,torch.compile,+,+,+
Image Classification,botnet26t_256,pytorch,FP32,torch.compile,+,+,+
Image Classification,cait_s24_224,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,camembert-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,canine-s,pytorch,FP32,torch.compile,+,+,+
Object Detection,cascade_mask_rcnn_R_50_FPN_1x,pytorch,FP32,torch.compile,,+,
Natural Language Processing,chinese_pretrain_mrc_macbert_large,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,chinese-xlnet-base,pytorch,FP32,torch.compile,+,+,
Image Classification,clip-vit-base-patch32,pytorch,FP32,torch.compile,+,+,+
Image Classification,coat_mini,pytorch,FP32,torch.compile,+,+,+
Image Classification,coatnet_1_rw_224.sw_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,coatnext_nano_rw_224.sw_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,convit_small,pytorch,FP32,torch.compile,+,+,+
Image Classification,convmixer_1024_20_ks9_p14,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_base,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_large,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_large.fb_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_small,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnext_tiny,pytorch,FP32,torch.compile,+,+,+
Image Classification,convnextv2_large.fcmae_ft_in22k_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3darknet_focus_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3darknet_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3edgenet_x,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3se_edgenet_x,pytorch,FP32,torch.compile,+,+,+
Image Classification,cs3sedarknet_l,pytorch,FP32,torch.compile,+,+,+
Image Classification,cspdarknet53,pytorch,FP32,torch.compile,+,+,+
Image Classification,cspresnet50,pytorch,FP32,torch.compile,+,+,+
Image Classification,cspresnext50,pytorch,FP32,torch.compile,+,+,+
Image Classification,darknet53,pytorch,FP32,torch.compile,+,+,+
Image Generation,dcgan,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,deberta-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,deberta-large,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,deberta-v2-xlarge,pytorch,FP32,torch.compile,+,+,+
Semantic Segmentation,deeplabv3_mobilenet_v3_large,pytorch,FP32,torch.compile,+,+,+
Semantic Segmentation,deeplabv3_resnet101,pytorch,FP32,torch.compile,+,+,+
Semantic Segmentation,deeplabv3_resnet50,pytorch,FP32,torch.compile,+,+,+
Audio Enhancement,demucs,pytorch,FP32,torch.compile,+,+,+
Image Classification,densenet121,pytorch,FP32,torch.compile,+,+,+
Image Classification,densenet161,pytorch,FP32,torch.compile,+,+,+
Image Classification,densenet169,pytorch,FP32,torch.compile,+,+,+
Image Classification,densenet201,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,distilbert-base-cased,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,distilbert-base-uncased,pytorch,FP32,torch.compile,+,+,+
Large Language Model,distilbert-base-uncased-distilled-squad,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,distilbert-base-uncased-finetuned-sst-2-english,pytorch,FP32,torch.compile,+,+,+
Image Classification,dla34,pytorch,FP32,torch.compile,+,+,+
Image Classification,dla60_res2net,pytorch,FP32,torch.compile,+,+,+
Image Classification,dla60_res2next,pytorch,FP32,torch.compile,+,+,+
Image Classification,dla60x,pytorch,FP32,torch.compile,+,+,+
Image Classification,dm_nfnet_f6,pytorch,FP32,torch.compile,+,+,+
Image Classification,dm_nfnet_f6.dm_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,dpn68,pytorch,FP32,torch.compile,+,+,+
Image Classification,eca_botnext26ts_256,pytorch,FP32,torch.compile,+,+,+
Image Classification,eca_halonext26ts,pytorch,FP32,torch.compile,+,+,+
Image Classification,eca_nfnet_l1,pytorch,FP32,torch.compile,+,+,+
Image Classification,ecaresnet50d,pytorch,FP32,torch.compile,+,+,+
Image Classification,edgenext_small_rw,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientformer_l3.snap_dist_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientformerv2_s1.snap_dist_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b0,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b1,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b2,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b3,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b4,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b5,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b6,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_b7,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_v2_l,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_v2_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,efficientnet_v2_s,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,electra-base-generator,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,electra-base-squad2,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,electra-small-discriminator,pytorch,FP32,torch.compile,+,+,+
Image Classification,ens_adv_inception_resnet_v2,pytorch,FP32,torch.compile,+,+,+
Image Classification,ese_vovnet39b,pytorch,FP32,torch.compile,+,+,
Image Segmentation,facebookresearch_sam2_base,pytorch,FP32,torch.compile,+,+,
Image Segmentation,facebookresearch_sam2_large,pytorch,FP32,torch.compile,+,+,
Image Segmentation,facebookresearch_sam2_small,pytorch,FP32,torch.compile,+,+,+
Image Segmentation,facebookresearch_sam2_tiny,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,fairseq_s2t_covost,pytorch,FP32,torch.compile,+,+,
Object Detection,faster_rcnn_R_50_C4,pytorch,FP32,torch.compile,,+,
Object Detection,faster_rcnn_R_50_DC5_1x,pytorch,FP32,torch.compile,,+,
Object Detection,faster_rcnn_R_50_FPN_1x,pytorch,FP32,torch.compile,,+,
Object Detection,faster_rcnn_R_50_FPN_noaug_1x,pytorch,FP32,torch.compile,,+,
Object Detection,faster_rcnn_X_101_32x8d_FPN_3x,pytorch,FP32,torch.compile,,+,
Object Detection,fasterrcnn_mobilenet_v3_large_320_fpn,pytorch,FP32,torch.compile,+,,+
Object Detection,fasterrcnn_mobilenet_v3_large_fpn,pytorch,FP32,torch.compile,+,,+
Object Detection,fasterrcnn_resnet50_fpn,pytorch,FP32,torch.compile,+,+,+
Image Segmentation,fcn_resnet101,pytorch,FP32,torch.compile,+,+,+
Image Segmentation,fcn_resnet50,pytorch,FP32,torch.compile,+,+,+
Object Detection,fcos_resnet50_fpn,pytorch,FP32,torch.compile,+,+,+
Large Language Model,flan-t5-large-grammar-synthesis,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,fnet-base,pytorch,FP32,torch.compile,+,+,+
Text Recognition,functorch_maml_omniglot,pytorch,FP32,torch.compile,+,+,+
Image Classification,gcresnet50t,pytorch,FP32,torch.compile,+,+,+
Image Classification,gcvit_tiny,pytorch,FP32,torch.compile,+,+,+
