Category,topology,source framework,precision,infered with,CPU,GPU,NPU
Natural Language Processing,opennmt-hindi-english,onnx,FP32,OpenVINO,+,+,+
Object Detection,openpose-pose,tf,FP16,OpenVINO,+,,
Object Detection,openpose-pose,tf,FP16-INT8,OpenVINO,+,,
Object Detection,openpose-pose,tf,FP32,OpenVINO,+,,
Large Language Model,opt-1.3b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,opt-2.7b,pytorch,INT4,Optimum Intel,+,+,
"Image Processing, Enhancement ",paddlegan-realsr-df2k,onnx,FP32,ONNX Runtime OVEP,+,+,+
"Image Processing, Enhancement ",paddlegan-realsr-df2k,onnx,FP16,ONNX Runtime OVEP,+,+,+
Large Language Model,Pegasus-7b-slerp,pytorch,INT4,Optimum Intel,+,+,
Natural Language Processing,pegasus-samsum,pytorch,intel-optimum default,Optimum Intel,+,,
Large Language Model,persimmon-8b-chat,pytorch,INT4,Optimum Intel,+,+,
Object Detection,person-attributes-recognition-crossroad-0230,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0234,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0234,onnx,FP16-INT8,OpenVINO,,+,
Object Detection,person-attributes-recognition-crossroad-0238,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-attributes-recognition-crossroad-0238,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,person-detection-0100,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0100,onnx,FP32,OpenVINO,+,+,
Object Detection,person-detection-0101,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0101,onnx,FP32,OpenVINO,+,+,
Object Detection,person-detection-0102,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0102,onnx,FP32,OpenVINO,+,+,
Object Detection,person-detection-0200,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0200,onnx,FP32,OpenVINO,+,+,
Object Detection,person-detection-0201,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0201,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0202,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-detection-0202,onnx,FP32,OpenVINO,+,+,+
Object Detection,person-detection-0203,onnx,FP16,OpenVINO,+,+,
Object Detection,person-detection-0203,onnx,FP16-INT8,OpenVINO,+,+,
Object Detection,person-detection-0301,onnx,FP16,OpenVINO,+,,
Object Detection,person-detection-0301,onnx,FP32,OpenVINO,+,,
Object Detection,person-detection-0302,onnx,FP16,OpenVINO,+,,
Object Detection,person-detection-0303,onnx,FP16,OpenVINO,+,,
Object Detection,person-detection-0303,onnx,FP32,OpenVINO,+,,
Object Detection,person-detection-action-recognition-0006,tf,FP16,OpenVINO,+,+,+
Object Detection,person-detection-action-recognition-0006,tf,FP16-INT8,OpenVINO,+,+,
Object Detection,person-detection-action-recognition-0006,tf,FP32,OpenVINO,+,+,+
Object Detection,person-detection-asl-0001,onnx,FP16,OpenVINO,+,+,
Object Detection,person-detection-asl-0001,onnx,FP32,OpenVINO,+,+,
Object Detection,person-reidentification-retail-0277,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0286,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0287,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0288,onnx,FP16,OpenVINO,+,+,+
Object Detection,person-reidentification-retail-0288,onnx,FP32,OpenVINO,+,+,
Object Detection,person-vehicle-bike-detection-2000,onnx,FP16,OpenVINO,+,,+
Object Detection,person-vehicle-bike-detection-2000,onnx,FP32,OpenVINO,+,,+
Object Detection,person-vehicle-bike-detection-2001,onnx,FP16,OpenVINO,+,,+
Object Detection,person-vehicle-bike-detection-2001,onnx,FP32,OpenVINO,+,,+
Object Detection,person-vehicle-bike-detection-2002,onnx,FP16,OpenVINO,+,,+
Object Detection,person-vehicle-bike-detection-2002,onnx,FP32,OpenVINO,+,,
Object Detection,person-vehicle-bike-detection-2003,onnx,FP16,OpenVINO,+,,
Object Detection,person-vehicle-bike-detection-2003,onnx,FP16-INT8,OpenVINO,+,,
Object Detection,person-vehicle-bike-detection-2003,onnx,FP32,OpenVINO,+,,
Object Detection,person-vehicle-bike-detection-2004,onnx,FP16,OpenVINO,+,,
Object Detection,person-vehicle-bike-detection-2004,onnx,FP32,OpenVINO,+,,
Large Language Model,phi-2,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,phi-3-medium-4k-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,phi-3-medium-4k-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,phi-3-medium-4k-instruct,pytorch,FP16,OpenVINO,+,,
Large Language Model,Phi-3-medium-4k-instruct,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Phi-3-mini-128k-instruct,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,phi-3-mini-4k-instruct,pytorch,FP16,OpenVINO,+,+,+
Large Language Model,phi-3-mini-4k-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,phi-3-mini-4k-instruct,pytorch,INT8-CW,OpenVINO,+,+,+
Natural Language Processing,phobert-base,pytorch,FP32,torch.compile,+,+,+
Image Classification,pit_s_224,pytorch,FP32,torch.compile,+,+,+
Image Generation,pix2struct-base,pytorch,intel-optimum default,Optimum Intel,+,+,
3D Object Classification,pointnet-chair-100,onnx,FP32,ONNX Runtime OVEP,+,+,+
3D Object Classification,pointnet-chair-100,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Segmentation,pointrend-resnet50-fpn-pytorch,onnx,FP16,OpenVINO,+,,
Image Segmentation,pointrend-resnet50-fpn-pytorch,onnx,FP32,OpenVINO,+,,
Natural Language Processing,Polish_RoBERTa_large_OPI,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,poolformer_s24,pytorch,FP32,torch.compile,+,+,+
Object Detection,pp-ocr-det,paddle,FP32,OpenVINO,+,+,+
Object Detection,pp-ocr-det,paddle,FP16,OpenVINO,+,+,+
Object Detection,pp-ocr-det,paddle,INT8,OpenVINO,+,+,+
Object Detection,pp-ocr-rec,paddle,FP32,OpenVINO,+,+,+
Object Detection,pp-ocr-rec,paddle,FP16,OpenVINO,+,+,+
Object Detection,pp-ocr-rec,paddle,INT8,OpenVINO,+,+,+
Object Detection,pp-yolo,paddle,FP32,OpenVINO,+,,
Object Detection,pp-yolo,paddle,FP16,OpenVINO,+,,
Object Detection,pp-yolo,paddle,INT8,OpenVINO,+,,
Object Detection,prnet,tf,FP16,OpenVINO,+,+,+
Object Detection,prnet,tf,FP16-INT8,OpenVINO,+,+,+
Object Detection,prnet,tf,FP32,OpenVINO,+,+,+
Object Detection,product-detection-0001,onnx,FP16,OpenVINO,+,+,+
Object Detection,product-detection-0001,onnx,FP16-INT8,OpenVINO,+,+,+
Object Detection,product-detection-0001,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,prot_bert,pytorch,FP32,torch.compile,+,+,+
Semantic Segmentation,pspnet-pytorch,onnx,FP16,OpenVINO,+,+,+
Semantic Segmentation,pspnet-pytorch,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,PubChem10M_SMILES_BPE_396_250,pytorch,FP32,torch.compile,+,+,+
Image Classification,pvt_v2_b3,pytorch,FP32,torch.compile,+,+,+
Audio,pyannotate-speaker-diarization,onnx,FP32,ONNX Runtime OVEP,+,+,+
Audio,pyannotate-speaker-diarization,onnx,FP16,ONNX Runtime OVEP,+,+,+
Large Language Model,pythia-1.4b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,pythia-12b,pytorch,FP16,OpenVINO,+,,
Large Language Model,pythia-12b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,pythia-12b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,pythia-12b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,pythia-14m,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,pythia-160m,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,pythia-1b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,pythia-2.8b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,pythia-410m,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,pythia-6.9b,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,pythia-70m,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Pythia-Chat-Base-7B,pytorch,INT4,Optimum Intel,+,+,
Speech Recognition,quartznet-15x5-en,onnx,FP16-INT8,OpenVINO,+,,
Speech Recognition,quartznet-15x5-en,onnx,FP16,OpenVINO,+,,+
Speech Recognition,quartznet-15x5-en,onnx,FP32,OpenVINO,+,,+
Speech Recognition,quartznet-15x5-en,onnx,FP32,ONNX Runtime OVEP,+,+,+
Speech Recognition,quartznet-15x5-en,onnx,FP16,ONNX Runtime OVEP,+,+,+
Speech Recognition,quartznet-15x5-en,onnx,INT8,ONNX Runtime OVEP,+,+,
Large Language Model,Qwen1.5-0.5B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Qwen1.5-0.5B-Chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Qwen1.5-1.8B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Qwen1.5-1.8B-Chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,qwen1.5-14b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,qwen1.5-14b-chat,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen1.5-14b-chat,pytorch,FP16,OpenVINO,+,,
Large Language Model,Qwen1.5-4B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Qwen1.5-4B-Chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Qwen1.5-7B,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,Qwen1.5-7B-Chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,qwen2.5-7b-instruct,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,qwen2.5-7b-instruct,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen2.5-7b-instruct,pytorch,FP16,OpenVINO,+,+,
Large Language Model,qwen2-0.5b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,qwen2-0.5b,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,qwen2-0.5b,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen2-1.5b,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,qwen2-1.5b,pytorch,INT8-CW,OpenVINO,+,+,+
Large Language Model,qwen2-1.5b,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen2-7b,pytorch,INT4-MIXED,OpenVINO,+,+,+
Large Language Model,qwen2-7b,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen2-7b,pytorch,FP16,OpenVINO,+,+,
Large Language Model,qwen-7b-chat,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,qwen-7b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,qwen-7b-chat,pytorch,FP16,OpenVINO,+,,
Large Language Model,qwen-7b-chat-gptq,pytorch,INT4-MIXED,OpenVINO,+,+,
Video Classification,r2plus1d_18,pytorch,FP32,torch.compile,+,+,
Video Classification,r3d_18,pytorch,FP32,torch.compile,+,+,
Movement Prediction,raft_large,pytorch,FP32,torch.compile,+,+,+
"Image Processing, Enhancement ",rcan,onnx,FP32,OpenVINO,+,+,
Large Language Model,RedPajama-INCITE-7B-Base,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,RedPajama-INCITE-7B-Chat,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,red-pajama-incite-7b-chat,pytorch,FP16,OpenVINO,+,+,
Large Language Model,red-pajama-incite-7b-chat,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,red-pajama-incite-7b-chat,pytorch,INT8-CW,OpenVINO,+,+,
Large Language Model,RedPajama-INCITE-7B-Instruct,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,RedPajama-INCITE-Chat-3B-v1,pytorch,INT4,Optimum Intel,+,+,
Large Language Model,red-pajama-incite-chat-3b-v1,pytorch,FP16,OpenVINO,+,+,
Large Language Model,red-pajama-incite-chat-3b-v1,pytorch,INT4-MIXED,OpenVINO,+,+,
Large Language Model,red-pajama-incite-chat-3b-v1,pytorch,INT8-CW,OpenVINO,+,+,
Image Classification,regnet,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_x_1_6gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_x_16gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_x_3_2gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_x_32gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_x_400mf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_x_800mf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_x_8gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_y_1_6gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_y_128gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_y_16gf,pytorch,FP32,torch.compile,+,+,
Image Classification,regnet_y_3_2gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_y_32gf,pytorch,FP32,torch.compile,+,+,
Image Classification,regnet_y_400mf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_y_800mf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnet_y_8gf,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnetv_040,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnetx_032,pytorch,FP32,torch.compile,+,+,+
Image Classification,RegNetX_32GF_dds_8gpu,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnetx-3.2gf,onnx,FP16,OpenVINO,+,,+
Image Classification,regnetx-3.2gf,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,regnetx-3.2gf,onnx,FP32,OpenVINO,+,,+
Image Classification,regnety_080,pytorch,FP32,torch.compile,+,+,+
Image Classification,regnetz_b16,pytorch,FP32,torch.compile,+,+,+
Image Classification,repvgg_b3,pytorch,FP32,torch.compile,+,+,+
Image Classification,repvgg_b3.rvgg_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,repvgg-a0,onnx,FP16,OpenVINO,+,+,+
Image Classification,repvgg-a0,onnx,FP32,OpenVINO,+,+,+
Image Classification,repvgg-b1,onnx,FP16,OpenVINO,+,,+
Image Classification,repvgg-b1,onnx,FP32,OpenVINO,+,,
Image Classification,repvgg-b3,onnx,FP16,OpenVINO,+,,+
Image Classification,repvgg-b3,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,repvgg-b3,onnx,FP32,OpenVINO,+,,+
Image Classification,res2net50_26w_4s,pytorch,FP32,torch.compile,+,+,+
Image Classification,res2next50,pytorch,FP32,torch.compile,+,+,+
Image Classification,resmlp_12_224.fb_distilled_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,resmlp_12_distilled_224,pytorch,FP32,torch.compile,+,+,+
Image Classification,resmlp-12-distilled-224,onnx,FP16,OpenVINO,+,,+
Image Classification,resmlp-12-distilled-224,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,resmlp-12-distilled-224,onnx,FP32,OpenVINO,+,,+
Image Classification,resnest,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnest-50-pytorch,onnx,FP16,OpenVINO,+,,+
Image Classification,resnest-50-pytorch,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,resnest-50-pytorch,onnx,FP32,OpenVINO,+,,+
Image Classification,resnet101,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnet-101,onnx,FP16,OpenVINO,+,,+
Image Classification,resnet-101,onnx,FP32,OpenVINO,+,,+
Image Classification,resnet-101,tf,FP16,OpenVINO,+,+,+
Image Classification,resnet-101,tf,FP32,OpenVINO,+,+,+
Image Classification,resnet152,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnet-152,onnx,FP16,OpenVINO,+,,+
Image Classification,resnet-152,onnx,FP32,OpenVINO,+,,+
Image Classification,resnet-152,tf,FP16,OpenVINO,+,+,+
Image Classification,resnet-152,tf,FP32,OpenVINO,+,+,+
Image Classification,resnet18,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnet-18,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnet-18,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-18,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnet-18,pytorch,intel-optimum default,Optimum Intel,+,+,
Image Classification,resnet18-xnor-binary-onnx-0001,onnx,FP16-INT1,OpenVINO,+,+,
Image Classification,resnet34,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnet-34-pytorch,onnx,FP16,OpenVINO,+,,+
Image Classification,resnet-34-pytorch,onnx,FP32,OpenVINO,+,,+
Image Classification,resnet50,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnet-50,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnet-50,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-50,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnet-50,tf,FP16,OpenVINO,+,+,+
Image Classification,resnet-50,tf,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-50,tf,FP32,OpenVINO,+,+,+
Image Classification,resnet-50,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,resnet-50,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,resnet-50,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,resnet-50,paddle,FP32,OpenVINO,+,+,+
Image Classification,resnet-50,paddle,FP16,OpenVINO,+,+,+
Image Classification,resnet-50,paddle,INT8,OpenVINO,+,+,+
Image Classification,resnet50-binary-0001,onnx,FP16-INT1,OpenVINO,+,,
Image Classification,resnet50d,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnet50-int8-onnx-0001,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,resnet-50-pytorch,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnet-50-pytorch,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnet-50-pytorch,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnet-50-pytorch,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,resnet-50-pytorch,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,resnet-50-pytorch,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,resnet-50-tf,tf,FP16,OpenVINO,+,,
Image Classification,resnet-50-tf,tf,FP16-INT8,OpenVINO,+,,
Image Classification,resnet-50-tf,tf,FP32,OpenVINO,+,,
Image Classification,resnet-50-tf,tf2,FP16,OpenVINO,+,,+
Image Classification,resnet-50-tf,tf2,FP16-INT8,OpenVINO,+,,+
Image Classification,resnet-50-tf,tf2,FP32,OpenVINO,+,,
Image Classification,resnetaa50,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnetrs200,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnet-v1.5-50,tf,FP32,OpenVINO,+,+,+
Image Classification,resnet-v1.5-50,tf,FP16,OpenVINO,+,+,+
Image Classification,resnet-v1.5-50,tf,INT8,OpenVINO,+,+,+
Image Classification,resnetv2_101x1_bitm,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnext_101_32x8d,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnext101_32x8d,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnext101_64x4d,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnext101-32x16d-swsl,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnext101-32x16d-swsl,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,resnext101-32x16d-swsl,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnext101-32x16d-swsl,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,resnext101-32x16d-swsl,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,resnext101-32x16d-swsl,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,resnext-101-32x8d,onnx,FP16,OpenVINO,+,+,+
Image Classification,resnext-101-32x8d,onnx,FP32,OpenVINO,+,+,+
Image Classification,resnext50_32x4d,pytorch,FP32,torch.compile,+,+,+
Image Classification,resnext-50-32x4d,onnx,FP16,OpenVINO,+,,+
Image Classification,resnext-50-32x4d,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,resnext-50-32x4d,onnx,FP32,OpenVINO,+,,+
Image Classification,retinaface-resnet50,onnx,FP16,OpenVINO,+,+,+
Image Classification,retinaface-resnet50,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,retinaface-resnet50,onnx,FP32,OpenVINO,+,+,+
Image Classification,retinanet,tf2,FP16,OpenVINO,+,+,+
Image Classification,retinanet,tf2,FP32,OpenVINO,+,+,+
Image Classification,retinanet,tf,FP32,OpenVINO,+,+,
Image Classification,retinanet,tf,FP16,OpenVINO,+,+,
Image Classification,retinanet,tf,INT8,OpenVINO,+,+,
Image Classification,retinanet_resnet34,onnx,FP16,OpenVINO,+,+,+
Image Classification,retinanet_resnet34,onnx,FP16-INT8,OpenVINO,+,+,+
Image Classification,retinanet_resnet34,onnx,FP32,OpenVINO,+,+,+
Image Classification,rexnet-v1-x1.0,onnx,FP16,OpenVINO,+,,+
Image Classification,rexnet-v1-x1.0,onnx,FP16-INT8,OpenVINO,+,,+
Image Classification,rexnet-v1-x1.0,onnx,FP32,OpenVINO,+,,
Speech Recognition,rnnt,onnx,FP16,OpenVINO,+,,+
Speech Recognition,rnnt,onnx,FP32,OpenVINO,+,,
Audio,rnnt_encoder,onnx,FP32,ONNX Runtime OVEP,+,+,+
Audio,rnnt_encoder,onnx,FP16,ONNX Runtime OVEP,+,+,+
Audio,rnnt_joint,onnx,FP32,ONNX Runtime OVEP,+,+,+
Audio,rnnt_joint,onnx,FP16,ONNX Runtime OVEP,+,+,+
Audio,rnnt_prediction,onnx,FP32,ONNX Runtime OVEP,+,+,+
Audio,rnnt_prediction,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,roberta-base,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,roberta-base,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,roberta-base,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,roberta-base,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,roberta-base,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,roberta-base,onnx,INT8,ONNX Runtime OVEP,+,+,+
Natural Language Processing,roberta-base,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,roberta-base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,roberta-base-mrpc,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,roberta-base-mrpc,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,roberta-base-mrpc,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,roberta-base-mrpc,onnx,INT8,ONNX Runtime OVEP,+,+,+
Natural Language Processing,roberta-base-MRPC,pytorch,FP32,torch.compile,+,+,+
Large Language Model,roberta-base-squad2,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,roberta-large,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,roberta-large,onnx,FP32,OpenVINO,+,+,
Natural Language Processing,roberta-large,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,roberta-large,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,roberta-large-mnli,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,roberta-large-ner-english,pytorch,intel-optimum default,Optimum Intel,+,+,
Large Language Model,roberta-large-squadv2,pytorch,intel-optimum default,Optimum Intel,+,+,
Natural Language Processing,roformer_chinese_base,pytorch,FP32,torch.compile,+,+,+
Natural Language Processing,roformer_small_generator,pytorch,intel-optimum default,Optimum Intel,+,+,
Video Classification,s3d,pytorch,FP32,torch.compile,+,+,
Natural Language Processing,sbert-base-mean-tokens,onnx,FP16,OpenVINO,+,+,+
Natural Language Processing,sbert-base-mean-tokens,onnx,FP16-INT8,OpenVINO,+,+,+
Natural Language Processing,sbert-base-mean-tokens,onnx,FP32,OpenVINO,+,+,+
Natural Language Processing,sbert-base-mean-tokens,onnx,FP32,ONNX Runtime OVEP,+,+,+
Natural Language Processing,sbert-base-mean-tokens,onnx,FP16,ONNX Runtime OVEP,+,+,+
Natural Language Processing,sbert-base-mean-tokens,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,sebotnet33ts_256,pytorch,FP32,torch.compile,+,+,
Image Segmentation,segment-anything-image-encoder,onnx,FP32,ONNX Runtime OVEP,+,+,
Image Segmentation,segment-anything-image-encoder,onnx,FP16,ONNX Runtime OVEP,+,+,
Image Segmentation,segment-anything-predictor,onnx,FP32,ONNX Runtime OVEP,+,,
Image Segmentation,segment-anything-predictor,onnx,FP16,ONNX Runtime OVEP,+,,
Image Classification,sehalonet33ts,pytorch,FP32,torch.compile,+,+,
Image Classification,selecsls42b,pytorch,FP32,torch.compile,+,+,+
Image Classification,semnasnet_075.rmsp_in1k,pytorch,FP32,torch.compile,+,+,+
Image Classification,sequencer2d_m,pytorch,FP32,torch.compile,+,+,+
Image Classification,seresnet50,pytorch,FP32,torch.compile,+,+,+
Image Classification,se-resnext-50,onnx,FP16,OpenVINO,+,,
Image Classification,se-resnext-50,onnx,FP16-INT8,OpenVINO,+,,
Image Classification,se-resnext-50,onnx,FP32,OpenVINO,+,,
Image Classification,se-resnext-50,onnx,FP16,OpenVINO,+,+,+
Image Classification,se-resnext-50,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,se-resnext-50,onnx,FP32,OpenVINO,+,+,+
Image Classification,se-resnext-50,tf,FP16,OpenVINO,+,+,+
Image Classification,se-resnext-50,tf,FP32,OpenVINO,+,+,
Image Classification,se-resnext-50,onnx,FP32,ONNX Runtime OVEP,+,+,+
Image Classification,se-resnext-50,onnx,FP16,ONNX Runtime OVEP,+,+,+
Image Classification,se-resnext-50,onnx,INT8,ONNX Runtime OVEP,+,+,+
Image Classification,seresnext50_32x4d,pytorch,FP32,torch.compile,+,+,+
"Image Processing, Enhancement ",Sharpen-LensBlur,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-LensBlur,tf,FP32,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP16-INT8,OpenVINO,+,,+
"Image Processing, Enhancement ",Sharpen-MotionBlur,tf,FP32,OpenVINO,+,+,
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP16,OpenVINO,+,+,+
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP16-INT8,OpenVINO,,+,+
"Image Processing, Enhancement ",Sharpen-Sharpen,tf,FP32,OpenVINO,+,+,+
Image Classification,shufflenet,onnx,FP16,OpenVINO,+,+,+
Image Classification,shufflenet,onnx,FP16-INT8,OpenVINO,+,+,
Image Classification,shufflenet,onnx,FP32,OpenVINO,+,+,
Image Classification,shufflenet_v2_x0_5,pytorch,FP32,torch.compile,+,+,+
Image Classification,shufflenet_v2_x1_0,pytorch,FP32,torch.compile,+,+,+
Image Classification,shufflenet_v2_x1_5,pytorch,FP32,torch.compile,+,+,+
Image Classification,shufflenet_v2_x2_0,pytorch,FP32,torch.compile,+,+,+
